id,title,release_date,budget,revenue
264269,Apartment 18,2014-03-13,0.0,320395.0
99104,Bloodletting,1997-01-01,10000.0,0.0
97797,Dead Daughters,2007-02-01,1200000.0,0.0
468707,Thick Lashes of Lauri Mäntyvaara,2017-07-28,1254040.0,0.0
280422,All at Once,2014-06-05,25000000.0,3.0
293654,Corporate Event,2014-09-18,2000000.0,0.0
63281,Pro Lyuboff,2010-09-30,2000000.0,1268793.0
75608,Dead Birds,1963-10-01,1500000.0,0.0
84710,Jungle Woman,1944-06-01,105612.0,0.0
30840,Robin Hood,1991-05-13,5000000.0,33000000.0
237710,Pete's Christmas ,2013-11-16,3300000.0,0.0
11353,Bowfinger ,1999-08-12,55000000.0,98625775.0
71881,Five Corners ,1987-09-11,5500000.0,969205.0
21721,Eddie and the Cruisers ,1983-09-23,0.0,4786789.0
421365,The other me ,2017-01-19,0.0,371528.0
65096,EMR ,2004-01-01,150000.0,0.0
