id,title,release_date,budget,revenue
101330,Light Years Away,1981-05-20,3000000.0,0.0
2089,Cutaway,2000-08-26,9.0,37.0
293633,Catch Hell,2014-10-10,2500000.0,0.0
290542,You're Not You,2014-10-10,0.0,11486.0
52364,Crisis,1950-07-07,0.0,1099426.0
207933,Stonehearst Asylum,2014-09-11,0.0,2478806.0
49585,Russia 88,2009-01-28,85000.0,14205.0
260001,Life Partners,2014-12-05,0.0,8265.0
256092,Drive Hard,2014-05-26,12000000.0,0.0
127375,America's Most Haunted Inns,2004-08-10,20.0,0.0
222772,Lion's Heart,2013-08-15,0.0,11719123.0
85910,The Rolling Stones - Let's Spend the Night Together,1982-10-29,0.0,3820000.0
199851,Hawaii,2013-04-12,15000000.0,34562222.0
128154,Out in the Dark,2012-09-09,0.0,26966.0
180147,We Are The Nobles,2013-03-28,2000000.0,26433651.0
272692,The Possession of Michael King,2014-08-22,0.0,2405143.0
50400,Mission London,2010-04-16,1850000.0,1891264.0
76424,Master Harold... and the Boys,2010-03-17,5000000.0,0.0
2516,Our Mother's House,1967-10-09,800000.0,0.0
251260,Over the Brooklyn Bridge,1984-03-02,0.0,837914.0
87799,Circus,1936-05-25,0.0,14693.0
226948,Scarecrow,2013-10-05,2000000.0,0.0
44888,Soldier of Fortune,1955-01-01,2515000.0,0.0
29032,The Secret Invasion,1964-09-16,600000.0,0.0
280134,The Sweet Ride,1968-06-12,1935000.0,2600000.0
30302,Death In Love,2008-07-17,3000000.0,0.0
241842,Dead Snow 2: Red vs. Dead,2014-02-12,0.0,37473.0
20053,Dead Heat,2002-07-23,5000000.0,3588626.0
56929,Elle: A Modern Cinderella Tale,2011-04-26,250000.0,0.0
40644,Zatôichi: The Blind Swordsman,1989-02-04,2500000.0,34196922.0
34623,Young Man with a Horn,1950-02-09,0.0,1500000.0
18122,The Inhabited Island 2: Rebellion,2009-04-23,0.0,5873871.0
82450,Hamilton: In the Interest of the Nation,2012-03-02,6629445.0,8249053.0
103972,Out of Bounds,2011-05-13,0.0,5099316.0
15476,7eventy 5ive,2007-05-16,3000000.0,0.0
69065,Deadfall,1968-09-11,12000000.0,1900000.0
98344,Warriors of the Rainbow: Seediq Bale - Part 1: The Sun Flag,2011-04-09,25000000.0,29000000.0
202744,Deja Vu,1985-05-01,75000000.0,180557550.0
16639,Deliver Us from Evil,2009-04-03,12000000.0,34662454.0
73091,The Hanoi Hilton,1987-03-27,0.0,760000.0
164251,Serena,2014-10-12,30000000.0,176391.0
197489,The Four Feathers,1978-01-01,35000000.0,29882645.0
205596,The Imitation Game,2014-11-14,14000000.0,233555708.0
287495,Labyrinth of Lies,2014-09-06,0.0,794452.0
262551,Babysitting,2014-04-16,3400000.0,20258904.0
244403,Rudderless,2014-10-17,5000000.0,58293.0
58760,Jackboots on Whitehall,2010-10-08,6000000.0,20776.0
81347,Likainen pommi,2011-09-23,900000.0,0.0
28019,"Give 'em Hell, Malone",2009-01-01,15000000.0,0.0
237791,The Way He Looks,2014-03-28,0.0,1207841.0
140222,Love and Honor,2013-03-22,0.0,19684.0
186161,The Gilded Cage,2013-04-19,7000000.0,11311521.0
77412,Romance,1930-08-26,2700000.0,3885642.0
265195,Wild Tales,2014-08-21,4000000.0,27007072.0
157305,Head Over Heels,2012-05-24,10400.0,13127022.0
55152,The Oblong Box,1969-06-11,175000.0,0.0
78399,The Savior,1971-09-01,2000.0,0.0
183119,Kiss Me Goodbye,1986-01-01,0.0,15782478.0
52853,Rio Rita,1942-04-01,678000.0,2400000.0
57106,Freedom,2009-08-01,14500000.0,0.0
203179,Magic Camp,2012-04-28,24000000.0,0.0
202573,The Reunion,2013-11-15,6000000.0,0.0
21811,Ski School,1990-01-01,0.0,18476.0
22585,Ski Patrol,1990-01-12,0.0,8533973.0
233423,The Legend of Sarila,2013-02-22,0.0,15000000.0
30449,Imago mortis,2009-01-15,3700000.0,1811984.0
206821,The Longest Week,2014-09-05,0.0,46460.0
79544,The Wicker Tree,2011-08-27,7750000.0,0.0
258086,The Damned,2013-10-17,3000000.0,5758519.0
184061,Deliver Us from Evil,1973-09-11,12000000.0,34662454.0
261037,Miss Meadows,2014-09-12,2000000.0,0.0
15741,Dorothy Mills,2008-08-06,500000.0,0.0
114750,Dear White People,2014-10-17,1000000.0,0.0
