id,title,release_date,budget,revenue
341744,Truman,2015-10-30,0.0,9027600.0
36361,House Calls,1978-03-15,6500000.0,28460702.0
254918,Louder Than Words,2013-10-11,75000.0,0.0
333555,Schneider vs. Bax,2015-05-28,3000000.0,0.0
256546,A Small September Affair,2014-02-14,0.0,4245887.0
325039,Lady of Csejte,2015-02-26,2000000.0,0.0
297859,Drone,2014-04-10,4000000.0,0.0
361042,The Hollow,2015-10-24,2000000.0,0.0
32206,Quantum Apocalypse,2010-02-24,2500000.0,0.0
172721,End of the World,2013-02-22,500000.0,0.0
10124,Heartstopper,2006-01-01,3000000.0,0.0
331836,Babysitting 2,2015-12-02,9458736.0,24563629.0
15701,The Irrefutable Truth About Demons,2000-05-01,500000.0,0.0
42649,The Queen,1968-01-01,15000000.0,123384128.0
366548,Les Dissociés,2015-11-24,150000.0,0.0
351694,Monkey King: Hero Is Back,2015-07-10,10000000.0,150000000.0
29395,Brave,1994-01-01,185000000.0,539000000.0
323656,Just Jim,2015-09-25,400000.0,0.0
44001,The Unseen,1945-05-12,2000000.0,0.0
136793,Dino Time,2012-12-07,0.0,6423279.0
354072,Our Times,2015-08-13,2700000.0,82027760.0
78570,Top Cat The Movie,2011-09-16,6000000.0,16611575.0
318846,The Big Short,2015-12-11,28000000.0,133346506.0
342831,Sherlock Holmes,1916-06-30,90000000.0,524028679.0
347969,The Ridiculous 6,2015-12-11,60000000.0,0.0
246355,Saw,2003-01-01,5000.0,0.0
137366,Led Zeppelin - Celebration Day,2012-10-17,1000000.0,10000000.0
264397,The Incident,2014-05-17,105000.0,0.0
160564,Under the Rainbow,2013-03-05,20000000.0,2297493.0
363683,I Believe in Miracles,2015-10-13,768.0,0.0
339145,The Girl in the Book,2015-06-13,8245.0,81379.0
84186,China Heavyweight,2012-07-06,0.0,10481.0
207936,Tumbledown,2015-04-18,0.0,135026.0
31377,Spy School,2008-01-01,3000000.0,0.0
186121,The Pit,2009-10-22,1000000.0,0.0
129455,Fatherland,1986-09-02,200.0,0.0
122326,100 Ghost Street: The Return of Richard Speck,2012-07-24,150.0,0.0
262165,The Unwanted,2014-03-31,100000.0,0.0
47680,The Wall,1983-01-01,3000000.0,4500000.0
334376,Ghost in the Shell: The New Movie,2015-06-20,0.0,101203.0
138735,Little Thirteen,2012-07-04,600000.0,0.0
71482,Totally True Love,2011-02-25,1761562.0,2221278.0
326425,Extraction,2015-12-18,65000000.0,16775.0
299165,Nunca en horas de clase,1978-11-03,0.0,495861.0
28138,Dinosaur Island,1994-03-23,12000000.0,39296.0
267048,The Pyramid,2007-01-01,6500000.0,16861137.0
68419,Anuvahood,2011-03-18,1000000.0,0.0
17306,Ice Spiders,2007-01-01,2000000.0,0.0
47647,Fight Back to School,1991-12-31,0.0,3500000.0
357681,Hitting the Apex,2015-09-02,1000000.0,0.0
1877,Doctor Mordrid,1992-11-02,2000000.0,0.0
201223,Blue Exorcist: The Movie,2012-12-28,0.0,5994921.0
185497,Assassins Run,2013-04-22,4000000.0,0.0
104194,10+10,2011-04-01,0.0,9305412.0
75808,The Black Marble,1980-03-07,0.0,2500848.0
323968,OzLand,2015-02-08,10000.0,0.0
36748,Raggedy Ann & Andy: A Musical Adventure,1977-04-01,4000000.0,1500000.0
284460,Samurai Cop 2: Deadly Vengeance,2015-10-09,1500000.0,0.0
168112,Eskil & Trinidad,2013-03-29,4200000.0,0.0
360551,The Priests,2015-11-05,0.0,36900000.0
359460,The Accidental Detective,2015-09-24,0.0,24243825.0
80041,The Runway,2010-07-10,4.0,0.0
282069,Parasyte: Part 1,2014-11-29,0.0,9649013.0
282070,Parasyte: Part 2,2015-04-25,0.0,12828829.0
140595,Elaine Stritch: At Liberty,2002-01-01,300000.0,0.0
340666,Nocturnal Animals,2016-11-04,22500000.0,29252978.0
149232,The Pardon,2013-03-22,5000000.0,0.0
237710,Pete's Christmas,2013-11-16,3300000.0,0.0
356483,Unnatural,2015-10-16,3000000.0,0.0
343284,Night Of The Living Deb,2015-08-29,2000000.0,0.0
366630,The Bridge,2015-12-06,25000.0,179780.0
16157,Mobile Suit Gundam: Char's Counterattack,1988-03-12,0.0,7000000.0
62691,Midnight Sun,2006-06-17,2800000.0,27365467.0
281524,The Hooligan Factory,2014-06-13,1000000.0,0.0
63465,Petty Romance,2010-08-10,0.0,14244325.0
138853,Ghost,2010-11-13,22000000.0,9833553.0
64228,"Love, Pain and Vice Versa",2008-02-10,2556455.0,0.0
32695,Walking Vengeance,2008-10-31,19000000.0,0.0
49704,Love in Disguise,2010-08-12,5532496.0,0.0
159230,Code Name: Jackal,2012-11-15,0.0,1261947.0
138665,Perfect Number,2012-10-18,0.0,544436.0
232420,Twinkle,1992-10-24,114.0,0.0
40800,Alligator 2 - The Mutation,1991-12-18,3000000.0,0.0
323929,Krisha,2016-03-18,30000.0,140779.0
24426,A.R.O.G.,2008-12-03,8500000.0,19736977.0
344041,Standoff,2016-01-04,8000000.0,0.0
291348,A Matter of Faith,2014-10-17,600000.0,677577.0
76354,Video Girl,2011-10-11,5000000.0,0.0
278706,Chrysalis,2014-04-24,12000000.0,0.0
256687,Swelter,2014-04-20,8000000.0,0.0
43020,The Colossus of Rhodes,1961-06-16,0.0,350000.0
127642,Feng Shui,2004-09-18,0.0,64147.0
373977,Childhood's End,2015-12-14,600000.0,0.0
347201,Boruto: Naruto the Movie,2015-08-07,0.0,38362448.0
66772,Cold Blood,1975-07-18,2700000.0,0.0
326415,Headless,2015-02-28,27000.0,0.0
373357,Conspiracy of Silence,1991-01-01,3000000.0,0.0
357940,Mr. Six,2015-09-16,250000.0,139191345.0
37817,Oh My God!,2007-03-30,2500000.0,19000000.0
73919,The Famous and the Dead,2009-09-25,0.0,200340.0
107257,A Perfect Ending,2012-06-01,175000.0,0.0
317442,The Last: Naruto the Movie,2014-12-06,750000.0,19840000.0
352200,"Rabin, the Last Day",2015-11-04,4600000.0,0.0
366566,Le Grand partage,2015-12-23,0.0,7862364.0
16632,100 Days with Mr. Arrogant,2004-01-16,3200000.0,0.0
16147,Aurore,2005-07-08,6000000.0,0.0
214129,Bakit Hindi Ka Crush Ng Crush Mo?,2013-08-14,282698.0,0.0
118451,Eungyo,2012-04-25,0.0,9048531.0
54225,Five Senses of Eros,2009-07-09,0.0,2484095.0
252067,Hot Young Bloods,2014-01-22,0.0,10600000.0
110713,Max,1994-01-01,11000000.0,0.0
40241,The Unseen,1980-09-01,2000000.0,0.0
58887,When Harry Tries to Marry,2011-04-22,0.0,38261.0
172767,500 MPH Storm,2013-02-28,3000000.0,0.0
211354,Public Enemies,2012-01-03,100000000.0,214104620.0
49172,Public Enemies,1996-04-19,100000000.0,214104620.0
68444,Blind,2007-02-08,0.0,12522.0
276608,Suspect,2005-11-16,0.0,18782400.0
61935,Crazy About Ya,2010-10-20,0.0,3082901.0
60775,Oxygen,2010-09-08,0.0,3088.0
182545,Bingo,2013-03-26,10000000.0,8667684.0
35639,K3 en het IJsprinsesje,2006-07-19,0.0,3438336.0
63044,De Vlaschaard,1983-07-01,900000.0,0.0
255647,See You in Montevideo,2014-01-15,5400000.0,0.0
215908,Noah,2013-09-09,125000000.0,362600000.0
27548,Slime City,1988-05-13,50000.0,0.0
211220,The Pig Farm,2011-01-01,1500000.0,0.0
374416,Quo vado?,2016-01-01,10000000.0,75173000.0
325712,Cool Cat Saves the Kids,2015-02-01,50000.0,0.0
284250,Halam Geldi,2014-01-15,0.0,289013.0
354216,The Devil's Candy,2017-03-17,0.0,772319.0
333596,Woodlawn,2015-10-15,12000000.0,14394097.0
299553,Shark Lake,2015-10-02,2000000.0,0.0
360055,Riot,2015-09-27,0.0,124358.0
277934,Sadece Sen,2014-03-14,0.0,3655907.0
39436,Sleepless,2001-01-05,4000000.0,32540674.0
26379,Paa,2009-12-04,3250000.0,0.0
102632,Rowdy Rathore,2012-06-01,6700000.0,31000000.0
16075,Great Expectations,1999-05-09,25000000.0,55494066.0
122198,Lines of Wellington,2012-10-13,4800000.0,0.0
349176,Assassination Classroom,2015-03-21,0.0,31383050.0
86942,Tusk,1980-03-01,3000000.0,1882074.0
60181,Blood on the Streets,1974-10-23,0.0,1691706.0
347767,The Entity,2015-01-22,9000000.0,13277558.0
253353,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008-02-01,7000000.0,70642966.0
342502,AWOL-72,2015-08-07,3000000.0,0.0
5953,The Lady in the Car with Glasses and a Gun,1970-10-22,0.0,339461.0
259325,The Woman I Love,1937-04-15,725000.0,783000.0
193321,The Deep Blue Sea,1955-11-01,0.0,1126525.0
115547,The Rise & Fall of a White Collar Hooligan,2012-05-07,1000000.0,0.0
294825,Rumors of Wars,2014-05-02,1000000.0,0.0
376823,Trophy Kids,2013-12-04,3500000.0,0.0
340401,Potato Salad: Don't Ask!,2015-07-23,0.0,3020134.0
89877,The Reunion,2011-10-13,6000000.0,0.0
270724,The Breakup Guru,2014-06-27,0.0,106640000.0
284467,Jigsaw,1968-06-05,10000000.0,104223315.0
340176,Tag,2015-07-11,28000000.0,75100000.0
361854,The Dark Side of the Moon,2016-01-14,1200000.0,0.0
173056,100 Yen: The Japanese Arcade Experience,2012-08-30,32213.0,0.0
345875,The Abandoned,2016-01-08,3000000.0,4529892.0
313985,The West,1996-09-15,1500000.0,0.0
68184,Cougar Hunting,2011-04-22,5500000.0,0.0
16907,Naruto the Movie: Ninja Clash in the Land of Snow,2004-08-21,0.0,11141307.0
209385,Walesa: Man of Hope,2013-09-05,0.0,5250588.0
169009,Bridge To Terabithia,1985-02-04,60000000.0,137587063.0
48431,Trouble,2005-03-09,0.0,12127842.0
71918,King,2008-12-25,0.0,54114815.0
351145,Retribution,2015-09-25,4000000.0,18685751.0
126423,A Poem is a Naked Person,1974-01-01,0.0,96774.0
84035,Boulevard,1960-11-30,0.0,126150.0
43462,Panic,1947-01-15,1000000.0,779137.0
348678,A Man Called Ove,2015-12-25,0.0,3371692.0
163312,The Forest,2009-09-01,10000000.0,37608299.0
173080,Graveyard Shift,1987-06-12,10500000.0,11582891.0
84951,Witchcraft II: The Temptress,1990-05-20,80000.0,0.0
326094,Wiener-Dog,2016-06-24,0.0,469311.0
312669,Maggie's Plan,2016-04-27,2000000.0,3351735.0
366924,Batman: Bad Blood,2016-03-22,3500000.0,0.0
85268,Cleopatra Wong,1978-11-10,70000.0,0.0
320005,Under Electric Clouds,2015-02-10,0.0,80551.0
211845,The Bible,2013-03-03,16500000.0,34900000.0
79911,Weasels Rip My Flesh,1979-01-01,400.0,0.0
158431,Slow Burn,2000-09-12,10000000.0,1237615.0
112570,Wanted,1967-03-22,75000000.0,342463063.0
87943,Sisters in Law,2005-09-03,0.0,8613864.0
85729,My Boyfriend an Angel,2011-12-20,2700000.0,2372984.0
319888,Eddie the Eagle,2016-02-26,23000000.0,46152411.0
104081,The Lighthouse,1998-04-16,11000000.0,18262464.0
35411,The Dancer and the Thief,2009-11-27,0.0,2865915.0
331962,Exposed,2016-01-22,0.0,1787926.0
