genre_id,genre_name
1,Action
2,Adventure
3,Animation
4,Comedy
5,Crime
6,Documentary
7,Drama
8,Family
9,Fantasy
10,Foreign
11,History
12,Horror
13,Music
14,Mystery
15,Romance
16,Science Fiction
17,TV Movie
18,Thriller
19,War
20,Western
