movie_id,company_id
862,4549
8844,6013
8844,5720
8844,2887
31357,6062
11862,5107
11862,5977
949,4851
949,2201
949,6370
9091,6154
9091,2778
9091,5281
710,6134
710,1855
9087,1302
9087,1018
10858,2641
10858,1204
1408,3291
1408,3276
1408,3784
1408,1001
524,6154
524,3506
524,5611
524,1549
4584,1303
4584,3859
5,3864
5,64
9273,4222
9273,6370
9273,3909
11517,1302
8012,2999
8012,3784
9691,5290
9691,960
9691,6370
9691,1633
9691,1672
9691,1911
12665,989
12665,2641
451,6134
451,2888
16420,1302
16420,1018
9909,2641
9909,6236
9909,1671
9598,6154
9598,3119
687,2571
687,4588
687,6503
139405,5399
34615,3863
34615,1647
34615,248
11443,989
11443,6124
11443,2641
9312,4085
9312,5897
577,5855
577,1303
11861,6154
11861,267
807,4085
807,3049
807,1034
10530,6354
10530,6353
8391,225
629,745
629,551
11448,3864
11448,3597
97406,3864
97406,1141
9089,4420
9089,1779
9089,4588
11359,4420
11359,1303
11359,5832
2054,2641
2054,5792
2054,4588
2054,2887
10607,3864
10607,2916
10607,2931
9536,3784
9536,3925
9536,30
9536,6397
11525,4085
10634,4085
755,64
755,1629
755,3467
755,3863
11859,5290
11859,6370
28387,1019
28387,5107
48750,3319
48750,960
48750,5634
36929,6370
36929,3909
9102,5846
9102,221
9102,2271
9102,2262
9102,5588
9102,6037
46785,2718
46785,1998
400,3864
880,654
880,582
880,4001
10534,2641
10534,3255
10534,5151
17414,6062
17414,3013
2086,4420
61548,3864
61548,159
9095,6013
9095,3998
12158,4420
9283,3864
9283,6500
9208,6062
9208,6323
9208,3661
63076,816
63076,6419
63076,952
63076,1194
63076,2788
63076,3233
11062,1302
11062,1018
13685,2426
13685,1303
2045,3784
2045,1633
2045,5441
9614,6154
9614,814
9614,4948
688,267
688,3623
688,6370
10874,6354
10874,3008
10874,3006
10874,5769
197,2747
197,5834
197,509
103,1303
103,2926
103,691
33542,4085
33542,2388
71754,6086
71754,5326
71754,3620
71754,5366
71754,830
71754,4022
71754,6612
71754,2368
71754,1216
71754,4207
71754,4797
16934,608
10324,6013
10324,3925
78406,5133
11066,4420
11104,3002
11104,5798
2074,3864
44284,957
44284,3689
44284,1227
11863,4420
11000,6134
16388,2217
9737,1302
9737,1671
10474,4085
10474,2916
22279,2123
22279,514
22279,830
22279,4603
30157,1076
30157,6564
30157,284
30157,6130
30157,3226
30157,6043
568,2770
568,6154
11780,6134
11780,5684
34996,4237
34996,2488
34996,1983
414,6370
414,4591
649,4429
649,2153
649,4952
1873,1302
1873,1018
5894,3864
5894,2863
1775,4588
8839,6154
8839,267
8839,5820
20649,6154
20649,48
10329,4420
10329,3120
10329,5769
8963,2641
8963,1671
26564,5590
8068,1302
8068,3467
8512,6013
8512,3964
1572,6062
1572,1204
13552,6441
13552,1599
13552,764
13552,5864
6520,1303
6520,2142
10428,6134
10428,5565
9482,2641
9482,1204
9344,3864
9071,2946
9071,3303
47608,5977
2293,6154
2293,2429
2293,245
2293,6259
9070,6062
9070,5065
9070,5933
34574,3147
1642,1302
36196,4447
10533,2641
10533,1204
10802,6134
10802,3291
10802,1001
10149,3864
18402,5459
18402,6370
18402,2573
9348,3784
281,3387
79593,2641
79593,4588
79593,2887
47939,5133
36834,5357
36834,1946
36834,4603
3512,4851
3512,6370
3512,5171
3512,6245
3512,1460
9560,6062
9560,6590
9804,6154
9804,2413
9804,1539
9804,3376
26258,6062
50797,960
50797,5555
50797,950
76,1604
76,6370
11017,2955
9382,4851
9382,194
9382,960
9382,4088
9382,2601
6715,6154
6715,2917
18256,2275
1909,4085
1909,287
8984,6370
8984,561
61813,3130
61813,1705
4954,4420
11929,1018
11929,1303
8467,4085
8467,3925
10451,307
10451,2406
10451,1048
20156,3864
20156,226
20156,1781
522,5977
10525,1302
10525,1018
27303,6013
72031,3864
14275,2123
14275,3096
1024,6476
1024,3864
1024,4097
1024,2187
17207,989
17207,2641
11777,4420
628,2328
87729,3771
87729,5977
6280,6154
6280,4197
6071,6062
11,3482
11,6062
9587,1302
18183,498
18183,1212
4476,625
4476,6013
4476,4388
47504,2123
47504,4085
47504,3424
43742,6370
28313,4420
3036,287
3036,6013
40490,6354
24070,6013
10510,6062
8438,6490
8438,6370
1945,6062
1945,1779
1945,4588
63105,2117
63105,2778
131957,6037
241,4851
241,194
241,2932
241,6370
241,4088
241,2937
9058,6013
527,490
527,4097
527,4100
18220,4085
18220,1156
18220,3541
6950,3178
6950,4707
6950,6370
6950,384
101,1302
101,2320
63020,5097
63020,5769
680,3864
680,64
680,2999
41478,4591
41478,2430
41478,3570
25296,307
40156,518
40156,4588
40156,3863
11450,6458
11450,2641
11450,561
10452,4873
10452,1894
10452,960
10452,110
10452,1465
10452,2232
10452,6329
10452,1052
10452,3984
10452,3863
10452,4749
12106,6013
161495,2641
161495,2887
161495,4164
109,3291
109,2227
109,1894
28033,4420
22586,4906
2164,1055
2164,5556
2164,999
11395,6354
11395,2641
278,1018
278,6370
87078,3146
20306,1211
20306,6023
9067,6021
193,4420
25066,48
25066,5133
36141,4598
1587,4420
9271,4420
19855,6154
236,1143
236,2048
236,2675
48287,1303
48287,618
3049,6370
3049,3909
2759,4588
10497,2123
10497,4742
10497,1303
10497,3323
10497,960
10497,5917
9331,4420
9331,3574
10731,4851
10731,194
10731,6370
9495,3864
9495,1428
9495,1850
9495,2987
9495,1776
29973,4851
29973,194
29973,6370
29973,197
888,6154
888,267
888,2545
13,4420
712,1076
712,4588
712,6503
16295,1303
16295,4079
48992,1303
48992,5883
48992,4923
10879,989
10879,5977
10660,6013
8587,6354
8587,6353
1689,3864
11596,4085
854,4085
854,1513
9359,2747
9359,6370
23333,2123
23333,3864
36593,4420
2788,6154
2788,2999
10427,4690
10427,4588
11011,1539
11011,5290
11011,6370
49803,4085
8987,6154
8987,1530
8987,6054
1637,6062
8831,6154
8831,4870
8831,1513
8831,3255
8831,5282
8831,2953
36955,6062
36955,3387
10449,5977
12160,5904
12160,6370
12160,3100
12160,4407
40480,5977
40480,5959
29444,2429
29444,4588
26352,989
26352,2641
11667,6154
11667,974
32502,4690
32502,3925
32502,4591
32502,5350
28732,3424
28732,982
28732,594
42981,6354
42981,5881
8011,5990
8011,2836
8011,3491
8011,1966
18069,4085
2758,4420
2758,4302
2758,5153
10436,1302
13595,6062
13595,2917
13595,4948
46094,2641
46094,4588
46094,2887
46094,4164
46094,3988
46094,3457
16771,2123
16771,1018
16771,580
11041,6062
306,4420
306,1768
26203,4085
178,6021
178,3784
4722,6370
4722,1681
4722,4944
1607,2508
1607,5133
26391,5977
117553,1302
117553,4438
6075,6154
6075,1857
6075,807
11310,1302
11310,1018
18658,3784
9350,6013
9350,960
9350,1001
9350,4750
9350,1256
9350,4543
9612,4420
2124,2641
2124,1204
49299,3784
49299,3705
49299,1031
49299,1936
49299,4488
9571,2429
9571,246
9571,5798
9739,5290
9739,6370
18551,4420
18551,5459
18551,3858
25440,2123
9024,6160
9024,2770
37233,4420
37233,3859
37233,1539
1634,958
1634,4851
1634,194
1634,6370
1634,1672
35588,1302
41579,3784
4916,2641
2019,6154
2019,4870
2019,245
31642,4851
31642,6370
9255,6062
9255,5270
9386,1018
9386,1303
15765,5977
6,6154
6,3255
6,2953
329,6154
329,267
10909,4690
10909,3183
507,3424
34024,2429
9593,1303
9593,4229
22317,5133
1413,2328
1413,6370
12121,4851
12121,6370
10502,2747
10502,6370
10440,6013
9516,4085
2320,5290
