id,title,release_date,budget,revenue
275060,The Disappearance of Eleanor Rigby: Her,2014-10-10,0.0,103815.0
276401,The Disappearance of Eleanor Rigby: Him,2014-10-10,0.0,109144.0
255343,Escobar: Paradise Lost,2014-10-11,17000000.0,3758328.0
108723,Face-Off,1971-11-12,600000.0,600000.0
255890,The Circle,2014-09-18,18000000.0,40651864.0
244063,Boys,2014-01-08,0.0,516349.0
140441,Sadako 3D,2012-05-12,0.0,20335408.0
293970,The Final Girls,2015-10-09,0.0,4500000.0
10580,Lemon Popsicle,1978-04-21,750000.0,3000000.0
69165,New Year's Evil,1980-12-26,500000.0,0.0
87122,A Man Called Sarge,1990-02-02,0.0,92874.0
31281,Ghosts Can't Do It,1989-01-01,0.0,25000.0
49038,Beauty and the Beast,1987-04-01,25000000.0,424967620.0
71750,Sleeping Beauty,1987-06-12,6000000.0,51600000.0
51434,The Fourth War,1990-03-08,0.0,1305887.0
94236,Street Knight,1993-03-12,0.0,841.0
28263,Fifty/Fifty,1992-01-01,55000000.0,371985018.0
241855,Spring,2014-03-20,0.0,49970.0
327029,Power Rangers,2015-02-24,105000000.0,142300000.0
81475,Julie Darling,1983-03-01,2000000.0,0.0
79570,Beat the Drum,2003-10-10,2000000.0,895.0
181283,Child 44,2015-03-15,50000000.0,3324330.0
118083,Promises in the Dark,1979-11-02,5000000.0,0.0
149926,Champions,1984-04-20,0.0,9263009.0
184155,Legend No. 17,2013-04-17,7720000.0,29523237.0
81022,Widows,2011-08-18,42000000.0,73900000.0
283227,A Little Chaos,2014-09-13,0.0,10084623.0
52980,"The Yakuza Papers, Vol. 2: Deadly Fight in Hiroshima",1973-04-28,125000.0,0.0
52979,"The Yakuza Papers, Vol. 4: Police Tactics",1974-01-15,125000.0,2140000.0
14642,20 Years After,2008-01-01,1000000.0,0.0
79433,Ronal the Barbarian,2011-09-27,0.0,2400000.0
11651,Hui Buh,2006-07-20,10000000.0,0.0
33719,Rudolph the Red-Nosed Reindeer: The Movie,1998-10-16,10000000.0,113484.0
238302,Saving Santa,2013-11-05,7500000.0,0.0
130798,Forget me not,2013-01-31,1300000.0,0.0
78694,The Fearless Four,1997-10-02,15000000.0,0.0
12128,Night of the Living Dorks,2004-11-03,4410000.0,2107861.0
10659,Siegfried,2005-07-28,0.0,8349626.0
1615,Erkan & Stefan 2,2002-06-20,0.0,4508104.0
51880,Oscar and the Lady in Pink,2009-11-15,0.0,1760856.0
254578,Phoenix,2014-09-25,4000000.0,3184472.0
179053,App,2013-04-03,2000000.0,0.0
44119,Born Killers,2005-01-01,34000000.0,50283563.0
10470,Werner - Gekotzt wird später!,2003-07-17,0.0,6996083.0
42023,Heat,1986-01-01,60000000.0,187400000.0
202639,Hurricane,1974-09-10,10000000.0,2137751.0
29582,The Odd Angry Shot,1979-03-01,600000.0,0.0
106268,Breaking Point,1975-10-12,0.0,3559250.0
27662,Deep Space,1988-05-01,1500000.0,0.0
17212,Patrick,1978-10-01,7834998.0,0.0
20893,Shadowheart,2009-08-04,10000000.0,0.0
46368,The Rig,2010-10-05,3000000.0,0.0
273341,The Unknown Cyclist,1998-10-10,2000000.0,0.0
75006,Moby Dick,2011-06-09,4500000.0,10400000.0
299551,The Atticus Institute,2015-01-20,1000000.0,0.0
294993,Rise of the Legend,2014-11-20,0.0,30932534.0
146229,Kristy,2014-08-07,6900000.0,0.0
15286,Marine Boy,2009-02-05,0.0,3923970.0
255253,The Face,2013-11-15,2000.0,0.0
61117,Hardbodies 2,1986-09-12,0.0,78068.0
52736,Hardbodies,1984-05-04,1995000.0,7100000.0
84724,Stitches,1985-11-01,100000.0,95000.0
101995,Inside,2012-04-13,0.0,170000.0
254023,The Humbling,2014-03-26,2000000.0,0.0
2189,Tomboy,1985-11-14,1000000.0,14100000.0
44664,Reckless Kelly,1994-05-04,3539484.0,13109200.0
110538,It Takes Two,1988-07-13,19474589.0,19474589.0
67693,Jocks,1986-11-14,0.0,120808.0
46836,Willy/Milly,1986-11-14,0.0,235262.0
70349,Beauty and the Beast,1978-03-01,25000000.0,424967620.0
88338,Running Hot,1984-02-01,500000.0,0.0
62545,Casomai,2002-01-01,0.0,3084771.0
151123,The Village,2010-02-01,60000000.0,256700000.0
263109,Shaun the Sheep Movie,2015-02-05,25000000.0,59700000.0
244539,Infinitely Polar Bear,2014-01-18,6700000.0,1430655.0
62678,Bastards,2006-02-02,6688.0,0.0
26447,3:15,1985-01-31,100.0,300.0
46830,Poison Ivy,1985-02-10,3000000.0,1829804.0
15029,The Whoopee Boys,1986-08-22,8000000.0,444746.0
308504,Last Knights,2015-04-03,40000000.0,3643591.0
83706,The Viral Factor,2012-01-19,0.0,220145.0
85598,Streetwalkin',1985-09-20,0.0,400000.0
85948,Liar's Moon,1982-09-01,2000000.0,0.0
228692,Cheatin',2013-10-18,0.0,15077.0
38981,Seven Minutes in Heaven,1985-05-09,31430.0,31430.0
51743,Stewardess School,1986-08-01,0.0,136158.0
29611,Sole Survivor,1983-12-01,350000.0,0.0
283703,The Postman's White Nights,2014-10-14,1409700.0,42491.0
10146,Men...,1985-12-19,178000000.0,543934787.0
276902,Cut Bank,2014-09-10,5000000.0,0.0
9803,Seven Dwarfs,2004-10-28,1488423.0,184925486.0
332356,Killing Jesus,2015-04-05,12000000.0,0.0
79908,Outing Riley,2004-01-01,700000.0,0.0
27886,Slaughter High,1986-01-01,1200000.0,0.0
29819,Summer Camp,1979-06-01,10000000.0,2402245.0
93937,Dangerous Curves,1989-07-07,3200000.0,0.0
84771,Lovelines,1984-11-02,0.0,289814.0
47946,Body Rock,1984-09-28,6000000.0,1689501.0
31344,The 317th Platoon,1965-03-31,66000.0,306505.0
242575,"Guten Tag, Ramón",2013-10-18,4000000.0,5104868.0
54118,Night School,1981-01-07,29000000.0,33157615.0
37935,One Dark Night,1983-02-01,978000.0,0.0
260672,The First Time,1983-07-13,900000.0,0.0
8490,Borderline,1980-10-31,8500000.0,0.0
85230,The Clown at Midnight,1999-02-09,12.0,0.0
107525,Saippuaprinssi,2006-02-10,1300000.0,0.0
255157,The Forger,2014-09-10,15000000.0,0.0
283708,Far from Men,2014-08-30,7700000.0,0.0
19900,Weather Girl,2009-07-10,0.0,22779.0
253626,Good Kill,2015-04-09,0.0,316472.0
10370,Premutos: Lord of the Living Dead,1997-01-01,150000.0,0.0
283698,Hungry Hearts,2015-01-15,0.0,6921.0
88744,The Woman with the 5 Elephants,2010-01-09,0.0,9256.0
62008,Good Deeds,2012-02-23,14000000.0,35579177.0
62730,In Search of Memory,2008-08-20,0.0,1062000.0
253303,Buzzard,2015-03-06,10000.0,13684.0
32901,Mine,2009-03-01,0.0,1600000.0
52629,El Infierno,2010-09-03,0.0,6703873.0
139302,The Bitter Buddha,2012-06-15,250000.0,0.0
287587,Adult Beginners,2014-09-08,0.0,108808.0
270654,Parts Per Billion,2014-03-25,1300000.0,15000000.0
269776,Alléluia,2014-05-14,3673315.0,0.0
100351,Sylvia,1965-02-10,7000000.0,10000000.0
3164,Frankenstein 1970,1958-07-20,110000.0,0.0
134693,Heathens and Thieves,2012-08-01,1200000.0,0.0
301229,Muffin Top: A Love Story,2014-10-18,1100000.0,0.0
274415,The Pasta Detectives,2014-07-10,0.0,5031433.0
47944,Without a Trace,1983-02-04,0.0,9600000.0
91683,Edge of Sanity,1989-04-14,0.0,102000.0
281778,Survivor,2014-07-22,20000000.0,0.0
330431,NH10,2015-03-13,200000.0,5100000.0
14572,Patlabor 2: The Movie,1993-08-07,2000000.0,0.0
260310,Space Dogs 2,2014-02-06,6000000.0,6451892.0
248087,The Eternal Zero,2013-12-20,0.0,84500000.0
85644,Riot,1969-01-15,0.0,124358.0
290865,Tazza: The Hidden Card,2014-09-03,0.0,31278476.0
75989,Lady in White,1962-07-02,4700000.0,0.0
154276,The Stone Boy,1984-04-04,0.0,261033.0
329540,The Marine 4: Moving Target,2015-04-10,1950000.0,0.0
278316,Da Sweet Blood of Jesus,2014-06-22,1420000.0,0.0
52333,Astral City: A Spiritual Journey,2010-05-10,12000000.0,0.0
266331,Table For Five,1983-02-18,8000000.0,2439705.0
284289,Beyond the Reach,2014-09-06,0.0,45895.0
21461,Lage Raho Munna Bhai,2006-01-01,1800000.0,31517561.0
295592,Monkey Kingdom,2015-04-17,0.0,16661077.0
35852,Obsession,1949-08-03,1400000.0,4468000.0
201132,Antarctica: A Year on Ice,2013-09-05,1000000.0,0.0
46808,Darkness in Tallinn,1993-06-06,1000000.0,0.0
95056,I'm Not Jesus Mommy,2011-05-06,0.0,15005.0
44216,Downstream,2010-02-24,1000000.0,0.0
85966,Night Call Nurses,1972-06-01,75000.0,0.0
26503,The Black Cat,1981-04-04,95745.0,236000.0
248611,Mea Culpa,2014-02-05,0.0,3736775.0
265330,Bad Boys,2014-04-17,19000000.0,141407024.0
26687,The Unseeable,2006-11-02,2000000.0,0.0
197583,50 to 1,2014-03-21,10000000.0,1064454.0
300155,A Royal Night Out,2015-05-14,0.0,228136.0
250349,Barbecue,2014-04-30,6000000.0,14348529.0
175112,Tinker Bell and the Pirate Fairy,2014-02-13,0.0,20300000.0
31042,Target Earth,1954-11-07,100000.0,0.0
28969,The Velveteen Rabbit,2009-01-01,5500000.0,0.0
332340,Man Up,2015-05-29,0.0,3000000.0
63573,Scarecrow,1984-09-14,2000000.0,0.0
144097,All I Want for Christmas,2007-12-01,0.0,14812000.0
186869,The Vagrant,1992-05-15,9500000.0,5900.0
241257,Regression,2015-10-01,20000000.0,17671101.0
29100,The Chase,1946-11-16,26000000.0,8000000.0
51476,Shoot to Kill,1947-03-15,0.0,29300000.0
81720,Gangster Story,1959-12-01,75000.0,0.0
89156,Rose,2011-06-09,1365068.0,453295.0
284689,Testament of Youth,2014-10-14,0.0,1822250.0
250734,Far from the Madding Crowd,2015-04-23,14500000.0,30229977.0
202575,Thunder and the House of Magic,2013-12-24,34000000.0,64197205.0
134126,A Company Man,2012-10-11,3500000.0,7339398.0
137955,Crowsnest,2012-01-01,1200000.0,0.0
265851,No Tears for the Dead,2014-06-01,0.0,4500000.0
259072,Wrong Turn 6: Last Resort,2014-08-22,1200000.0,0.0
64525,Paranoia,1969-02-07,35000000.0,17056265.0
34134,Barbie in A Mermaid Tale,2010-01-26,0.0,16441438.0
