id,title,release_date,budget,revenue
12772,Leap of Faith,1992-12-18,20000000.0,23400000.0
47866,Gas Food Lodging,1992-07-10,0.0,1345236.0
73265,Campus Man,1987-04-10,4900000.0,989000.0
14282,Ninja Scroll,1993-06-05,60000000.0,0.0
8439,Bus 174,2002-10-22,0.0,217201.0
322,Mystic River,2003-10-07,25000000.0,156822020.0
54973,Dopamine,2003-10-03,0.0,22278.0
21059,Girls Will Be Girls,2003-07-05,0.0,16278.0
9373,The Texas Chainsaw Massacre,2003-10-17,9500000.0,107071655.0
1550,Pieces of April,2003-01-19,300000.0,0.0
5493,Returner,2002-08-31,0.0,54114815.0
10629,Veronica Guerin,2003-07-11,17000000.0,1569918.0
9839,Beyond Borders,2003-10-23,35000000.0,0.0
10009,Brother Bear,2003-10-23,128000000.0,250397798.0
1807,Elephant,2003-05-18,3000000.0,10012022.0
30141,The Singing Detective,2003-10-24,8000000.0,337174.0
10536,The Italian Job,1969-06-02,3000000.0,176070171.0
14157,Impulse,1984-09-28,9000000.0,2544504.0
42044,Shoah,1985-11-01,0.0,20175.0
50374,Black Sunday,1977-03-11,8000000.0,15769322.0
96171,Men of Respect,1990-01-18,0.0,139155.0
20312,Interstate 60,2002-04-13,7000000.0,0.0
135890,Storyville,1992-08-26,0.0,422503.0
2348,Holy Matrimony,1994-04-08,0.0,616938.0
18979,Captain Kronos: Vampire Hunter,1974-04-07,400000.0,0.0
27450,Chicago Joe and the Showgirl,1990-05-16,0.0,85395.0
62327,Promised Land,1987-09-01,15000000.0,316000.0
897,Aparajito,1956-10-11,0.0,170215.0
42522,The Hired Hand,1971-08-11,1000000.0,0.0
10922,The Human Stain,2003-10-29,30000000.0,24900000.0
43708,"Die, Mommie, Die!",2003-10-31,0.0,320092.0
28446,Suspended Animation,2001-01-01,1900000.0,0.0
605,The Matrix Revolutions,2003-11-05,150000000.0,424988211.0
23995,Billabong Odyssey,2003-11-07,0.0,54.0
1277,Gloomy Sunday,1999-10-21,0.0,585604.0
11846,Father of the Bride,1991-12-20,20000000.0,89325780.0
8619,Master and Commander: The Far Side of the World,2003-11-14,150000000.0,212011111.0
21525,Tupac: Resurrection,2003-01-23,300000.0,7808524.0
12146,The Missing,2003-11-26,60000000.0,38364277.0
10588,The Cat in the Hat,2003-11-21,109000000.0,133800000.0
11012,Damage,1992-12-02,4000000.0,7532911.0
30068,Devil's Playground,2002-01-01,2400000.0,0.0
1702,Death Machine,1994-12-23,0.0,1422749.0
9065,Europa,1991-05-11,0.0,1007976.0
4823,Final Analysis,1992-02-07,32000000.0,28590665.0
10952,New Jack City,1991-03-08,8500000.0,47624253.0
14022,Slacker,1990-07-27,23000.0,1228108.0
41521,Mr. Hobbs Takes a Vacation,1962-06-15,2000000.0,4000000.0
22744,Jane Eyre,1943-12-24,13000000.0,34710627.0
17831,A Tale of Two Cities,1935-12-25,1000000.0,0.0
780,The Passion of Joan of Arc,1928-04-21,0.0,18121.0
234,The Cabinet of Dr. Caligari,1920-02-25,18000.0,8811.0
899,Broken Blossoms,1919-05-13,0.0,2400000.0
8289,Gorky Park,1983-12-15,0.0,16175602.0
11583,The First Great Train Robbery,1979-01-25,6000000.0,0.0
11002,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984-03-30,0.0,45858563.0
6472,Guarding Tess,1994-03-11,20000000.0,27058304.0
11384,The Hard Way,1991-03-08,24000000.0,65595485.0
5227,Hercules in New York,1969-02-23,300000.0,0.0
10410,Hoffa,1992-12-25,35000000.0,0.0
10407,Housesitter,1992-06-12,26000000.0,94900635.0
11850,Invasion of the Body Snatchers,1978-12-19,3500000.0,24046533.0
10804,King Ralph,1991-02-15,23000000.0,52487045.0
5765,Knight Moves,1992-01-14,9000000.0,923418.0
2007,Lorenzo's Oil,1992-12-30,30000000.0,7286388.0
8047,Matador,1986-03-07,0.0,286126.0
3112,The Night of the Hunter,1955-04-03,795000.0,0.0
