id,title,release_date,budget,revenue
15602,Grumpier Old Men,1995-12-22,25000000.0,71500000.0
31357,Waiting to Exhale,1995-12-22,16000000.0,81452156.0
11862,Father of the Bride Part II,1995-02-10,0.0,76578911.0
11860,Sabrina,1995-12-15,58000000.0,10000000.0
45325,Tom and Huck,1995-12-22,0.0,23920048.0
710,GoldenEye,1995-11-16,60000000.0,352194034.0
12110,Dracula: Dead and Loving It,1995-12-22,30000000.0,10772144.0
21032,Balto,1995-12-22,31000000.0,11348324.0
524,Casino,1995-11-22,50000000.0,116112375.0
1710,Copycat,1995-10-27,20000000.0,32000000.0
9691,Assassins,1995-10-06,50000000.0,30303072.0
12665,Powder,1995-10-27,9500000.0,30900000.0
16420,Othello,1995-12-15,11000000.0,2800000.0
9263,Now and Then,1995-10-20,5000.0,27400000.0
37557,Shanghai Triad,1995-04-30,2300000.0,0.0
9909,Dangerous Minds,1995-08-11,23000000.0,180000000.0
63,Twelve Monkeys,1995-12-29,29000000.0,168840000.0
687,Dead Man Walking,1995-12-29,11000000.0,39363635.0
139405,Across the Sea of Time,1995-10-20,0.0,16015639.0
33689,It Takes Two,1995-11-17,19474589.0,19474589.0
9603,Clueless,1995-07-19,12000000.0,56631572.0
34615,"Cry, the Beloved Country",1995-12-15,0.0,676525.0
31174,Richard III,1995-12-29,0.0,2748518.0
11443,Dead Presidents,1995-10-06,10000000.0,24100000.0
35196,Restoration,1995-12-29,19000000.0,4005941.0
97406,Georgia,1995-05-19,0.0,1110974.0
9089,Home for the Holidays,1995-11-02,20000000.0,17519169.0
11010,The Postman,1994-09-22,80000000.0,17626234.0
11359,The Indian in the Cupboard,1995-07-14,45000000.0,35700000.0
2054,Mr. Holland's Opus,1995-12-29,31000000.0,106269971.0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,3800000.0,20100000.0
19760,Two If by Sea,1996-01-12,0.0,10658278.0
9536,Bio-Dome,1996-01-12,15000000.0,13400000.0
11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,15000000.0,2409225.0
28387,Kicking and Screaming,1995-10-06,0.0,718490.0
20927,Bed of Roses,1996-01-26,0.0,19030691.0
36929,Big Bully,1996-01-26,15000000.0,2042530.0
9623,The Juror,1996-02-02,44000000.0,22754725.0
880,Antonia's Line,1995-09-12,900000.0,0.0
17414,Dunston Checks In,1996-01-12,16000000.0,0.0
13997,Black Sheep,1996-02-01,32400000.0,32.0
12158,Vampire in Brooklyn,1995-10-26,14000000.0,19800000.0
9283,Beautiful Girls,1996-02-09,16000000.0,27000000.0
406,La Haine,1995-05-31,2600000.0,15300000.0
11062,City Hall,1996-02-16,40000000.0,33440204.0
13685,Bottle Rocket,1996-02-21,7000000.0,560069.0
2045,Unforgettable,1996-02-23,18000000.0,17800000.0
10874,Muppet Treasure Island,1996-02-16,31000000.0,34327391.0
33542,Rumble in the Bronx,1995-01-30,7500000.0,32392047.0
43566,Before and After,1996-02-23,35000000.0,8797839.0
43612,Happiness Is in the Field,1995-01-31,13365000.0,0.0
10324,If Lucy Fell,1996-03-08,5000000.0,2420162.0
32119,The Boys of St. Vincent,1992-12-06,0.0,204540.0
11104,Chungking Express,1994-07-14,160000.0,0.0
27793,The Neverending Story III: Escape from Fantasia,1994-10-26,17000000.0,0.0
9101,Down Periscope,1996-03-01,0.0,37553585.0
9302,Up Close & Personal,1996-03-01,60000000.0,100688562.0
30765,The Amazing Panda Adventure,1995-08-25,0.0,7506759.0
10474,The Basketball Diaries,1995-04-21,2000000.0,2381087.0
1873,Beyond Rangoon,1995-05-24,23000000.0,14700000.0
5894,Blue in the Face,1995-09-15,2000000.0,1275000.0
1775,Canadian Bacon,1995-06-08,11000000.0,178104.0
8963,Crimson Tide,1995-05-12,53000000.0,157387195.0
26564,Crumb,1994-09-10,0.0,3174695.0
8068,Desperado,1995-08-25,7000000.0,25405445.0
1572,Die Hard: With a Vengeance,1995-05-19,90000000.0,366101666.0
13552,The Doom Generation,1995-10-27,800000.0,284785.0
9073,Free Willy 2 - The Adventure Home,1995-07-19,31000000.0,30000000.0
17447,Jeffrey,1995-08-18,0.0,3487767.0
9886,Johnny Mnemonic,1995-05-26,25000000.0,19075720.0
19326,Jury Duty,1995-04-12,0.0,17014653.0
8973,Lord of Illusions,1995-08-25,0.0,13294594.0
47608,Mad Love,1995-05-26,0.0,15453274.0
68274,Moonlight and Valentino,1995-09-29,0.0,2484226.0
11472,Nine Months,1995-07-12,35000000.0,69660733.0
36196,Party Girl,1995-06-09,0.0,472370.0
32646,Safe,1995-06-23,30000000.0,40300000.0
18402,Something to Talk About,1995-08-04,30000000.0,50892160.0
5967,The Umbrellas of Cherbourg,1964-02-19,200000.0,7600000.0
47939,Three Wishes,1995-10-27,10000000.0,7025496.0
36834,Total Eclipse,1995-11-02,0.0,339889.0
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,0.0,47774193.0
31611,White Man's Burden,1995-12-01,7000000.0,9000000.0
65796,Wild Bill,1995-12-01,30000000.0,2193982.0
49805,The Browning Version,1994-10-12,0.0,487391.0
26258,Bushwhacked,1995-08-04,0.0,7919823.0
19155,Before the Rain,1994-06-09,0.0,763847.0
6715,The Cure,1995-04-21,0.0,2568235.0
22625,Circle of Friends,1995-03-16,15000000.0,45000000.0
4954,Drop Zone,1994-12-08,45000000.0,62000000.0
62488,Destiny Turns on the Radio,1995-04-28,0.0,1200000.0
10531,Death and the Maiden,1994-05-04,12000000.0,8003716.0
11929,Dolores Claiborne,1995-03-24,13000000.0,46400000.0
10451,Eat Drink Man Woman,1994-08-03,0.0,7294403.0
20156,Exotica,1994-09-24,2000000.0,4221036.0
18395,Exit to Eden,1994-10-14,27500000.0,6841570.0
397,French Kiss,1995-05-05,3500000.0,14751272.0
10525,Forget Paris,1995-05-19,0.0,33177694.0
15789,A Goofy Movie,1995-04-07,18000000.0,35348597.0
21183,Fluke,1995-06-02,15000000.0,4000000.0
47867,Gordy,1995-05-12,0.0,3992809.0
43475,Gumby: The Movie,1995-12-01,2800000.0,57100.0
72031,The Glass Shield,1994-09-16,5000000.0,3291163.0
14275,Hoop Dreams,1994-09-12,700000.0,7830611.0
13701,Immortal Beloved,1994-12-16,120.0,0.0
14819,Heavyweights,1995-02-17,10000000.0,17689177.0
32631,The Hunted,1995-02-24,55000000.0,34234008.0
11777,I.Q.,1994-12-24,25000000.0,26381221.0
87729,Jefferson in Paris,1995-03-31,14000000.0,2474000.0
9061,Just Cause,1995-02-17,0.0,36853111.0
9587,Little Women,1994-12-21,18000000.0,50083616.0
19101,A Little Princess,1995-05-10,17000000.0,10000000.0
17961,L'Enfer,1994-02-16,10000000.0,595618.0
11008,Major Payne,1995-03-24,0.0,30112050.0
32325,Mi Vida Loca,1994-06-08,0.0,3267313.0
43742,Love Affair,1994-10-21,60000000.0,18300000.0
11318,The Madness of King George,1994-12-28,0.0,15238994.0
24070,Mixed Nuts,1994-12-21,15000000.0,0.0
8986,Milk Money,1994-08-31,0.0,18137661.0
10510,Miracle on 34th Street,1994-11-18,630000.0,46264384.0
8438,Murder in the First,1995-01-20,20000000.0,17381942.0
11593,Nobody's Fool,1994-12-23,20000000.0,39491975.0
39310,New Jersey Drive,1995-04-19,5000000.0,0.0
56428,Beyond Bedlam,1994-04-22,4800000.0,0.0
241,Natural Born Killers,1994-08-25,34000000.0,50282766.0
527,Once Were Warriors,1994-09-02,950000.0,2201126.0
2307,A Pyromaniac's Love Story,1995-04-28,0.0,345972.0
41478,Panther,1995-11-10,0.0,6834525.0
40156,Priest,1994-01-01,60000000.0,4176932.0
11450,Quiz Show,1994-09-16,31000000.0,24822619.0
10452,Queen Margot,1994-05-13,0.0,1318578.0
3586,Prêt-à-Porter,1994-12-23,15000000.0,11300653.0
110,Three Colors: Red,1994-05-27,0.0,4127033.0
108,Three Colors: Blue,1993-01-10,0.0,1527572.0
109,Three Colors: White,1994-01-26,0.0,1273525.0
28033,Stuart Saves His Family,1995-04-12,6300000.0,912082.0
14334,The Secret of Roan Inish,1994-01-01,5700000.0,6160000.0
2636,The Specialist,1994-10-07,45000000.0,170362582.0
87078,Suture,1993-09-14,0.0,102780.0
12527,Strawberry and Chocolate,1993-01-01,0.0,2087569.0
20306,Swimming with Sharks,1994-09-10,700000.0,382928.0
31439,To Live,1994-06-30,0.0,5800000.0
9059,Tales from the Crypt: Demon Knight,1995-01-13,13000000.0,21089146.0
12122,Village of the Damned,1995-04-28,22000000.0,9418365.0
11381,Tommy Boy,1995-03-31,20000000.0,32648673.0
36141,The Underneath,1995-04-28,6500000.0,0.0
95963,The Walking Dead,1995-02-24,0.0,6014541.0
2064,While You Were Sleeping,1995-04-21,17000000.0,182057016.0
19855,The War,1994-11-04,0.0,16.0
60855,Double Happiness,1994-09-07,0.0,759393.0
2759,"The Adventures of Priscilla, Queen of the Desert",1994-05-31,2000000.0,11220670.0
11382,Bullets Over Broadway,1994-10-14,20000000.0,0.0
10464,"Corrina, Corrina",1994-08-12,12500000.0,20100000.0
34152,Crooklyn,1994-05-13,14000000.0,0.0
29973,Cobb,1994-12-02,25500000.0,1007583.0
13,Forrest Gump,1994-07-06,55000000.0,677945399.0
16295,Higher Learning,1995-01-11,20000000.0,38290723.0
48992,I Like It Like That,1994-10-14,0.0,1777020.0
10660,It Could Happen to You,1994-07-29,20000000.0,37939757.0
10714,The Jungle Book,1994-12-23,4000000.0,378000000.0
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11,0.0,449707.0
9359,Maverick,1994-05-20,75000000.0,183031272.0
36593,The Naked Gun 33⅓: The Final Insult,1994-03-18,30000000.0,51132598.0
12280,The Paper,1994-03-18,6000000.0,48400000.0
11011,Ri¢hie Ri¢h,1994-12-19,40000000.0,38087756.0
8987,The River Wild,1994-09-30,45000000.0,94216343.0
15128,Speechless,1994-12-16,0.0,20667959.0
36955,True Lies,1994-07-14,115000000.0,378882411.0
10449,When a Man Loves a Woman,1994-04-29,0.0,50021959.0
10395,Wolf,1994-06-17,70000000.0,131002597.0
40480,Bad Company,1995-01-20,70000000.0,65977295.0
52038,A Man of No Importance,1994-12-22,0.0,953.0
315,"Faster, Pussycat! Kill! Kill!",1965-08-06,45000.0,36122.0
28732,Fall Time,1995-05-13,4000000.0,0.0
203119,Open Season,1996-05-03,85000000.0,197300000.0
8011,Highlander: The Final Dimension,1994-11-29,30000000.0,36800000.0
2654,In the Mouth of Madness,1994-12-12,8000000.0,8946600.0
18069,8 Seconds,1994-02-25,7000000.0,19623396.0
2758,Addams Family Values,1993-11-19,47000000.0,48919043.0
13595,Airheads,1994-08-05,15000000.0,5751882.0
9409,Another Stakeout,1993-07-22,30000000.0,30008496.0
11853,Bad Girls,1994-04-22,0.0,15240435.0
16771,Barcelona,1994-07-29,3200000.0,0.0
46924,Being Human,1994-05-06,40000000.0,5000000.0
178,Blown Away,1994-07-01,28000000.0,30156002.0
19819,Blue Chips,1994-02-18,35000000.0,26000000.0
4722,Body Snatchers,1993-06-09,13000000.0,428868.0
18215,Boxing Helena,1993-06-18,0.0,1796389.0
26391,Cabin Boy,1994-01-07,0.0,3662459.0
11310,City Slickers II: The Legend of Curly's Gold,1994-06-10,40000000.0,72000000.0
18658,Clean Slate,1994-05-06,0.0,7355425.0
9612,Coneheads,1993-07-23,33000000.0,21274717.0
26261,Cops & Robbersons,1994-04-15,0.0,11391093.0
11566,Dave,1993-05-07,28000000.0,63000000.0
9739,Demolition Man,1993-10-08,57000000.0,159055768.0
