id,title,release_date,budget,revenue
57436,The Erotic Man,2010-09-26,1400000.0,0.0
18912,Angst,1983-01-01,472000.0,0.0
36931,On the Edge,2006-08-31,7000000.0,0.0
81446,The Baytown Outlaws,2012-08-27,4000000.0,37470.0
83890,LUV,2013-01-18,0.0,134634.0
110398,No,2012-08-07,0.0,2341226.0
90369,Now Is Good,2012-05-25,4500000.0,2700000.0
150202,The Haunting in Connecticut 2: Ghosts of Georgia,2013-02-01,8000000.0,5127434.0
97724,The Adonis Factor,2010-06-19,100.0,0.0
13648,Resident Evil: Degeneration,2008-02-13,0.0,403117.0
121598,Midnight's Children,2012-10-26,0.0,884100.0
147815,Kadal,2013-02-01,12.0,0.0
87436,The ABCs of Death,2013-06-28,0.0,21660.0
133121,Resident Evil: Damnation,2012-09-25,0.0,2325035.0
47219,The Foreigner,1978-01-01,35000000.0,145374099.0
13946,The Rage,2007-12-01,2000000.0,0.0
124461,A Glimpse Inside the Mind of Charles Swan III,2012-11-15,0.0,210565.0
167179,Traffic Department,2013-01-31,1800000.0,0.0
17577,The Devil's Tomb,2009-05-26,10000000.0,0.0
46541,Game of Death,2010-11-27,13000000.0,0.0
131799,Can Heironymus Merkin Ever Forget Mercy Humppe and Find True Happiness?,1969-03-19,500000.0,2100000.0
98567,Chinese Zodiac,2012-12-20,48000000.0,171300000.0
127370,Song for Marion,2012-09-15,0.0,1697294.0
112949,Safe Haven,2013-02-07,28000000.0,97594140.0
85545,Elles,2011-09-09,4000000.0,911466.0
160220,Bronies: The Extremely Unexpected Adult Fans of My Little Pony,2012-11-04,348164.0,0.0
84330,Room 237,2012-10-26,0.0,259765.0
180705,Benji,2012-10-23,6000000.0,585333.0
161187,Saving Lincoln,2013-02-15,700000.0,0.0
89008,The Oranges,2011-09-09,7000000.0,366377.0
114478,Starship Troopers: Invasion,2012-07-21,0.0,193425.0
257716,Black and White,1968-03-15,10000000.0,5241315.0
37984,Eye in the Sky,2007-06-21,13000000.0,18704595.0
50275,The Pirate Bay: Away From Keyboard,2013-02-08,0.0,34664.0
70546,Living in Emergency: Stories of Doctors Without Borders,2008-08-29,2.0,0.0
170657,Journey to the West: Conquering the Demons,2013-02-01,0.0,215637183.0
28090,Maniac Cop 2,1990-12-13,4000000.0,0.0
128682,A Movie,1958-04-07,0.0,30819442.0
103162,Lenny Bruce: Swear to Tell the Truth,1998-10-21,0.0,21350.0
53399,The Solitude of Prime Numbers,2010-09-10,0.0,5505962.0
129112,Wadjda,2012-08-31,0.0,1347747.0
28485,Satan's Blood,1978-08-12,175000.0,594947.0
102362,Dead Man Down,2013-03-08,30000000.0,18074539.0
72841,Last Call at the Oasis,2011-09-09,0.0,42423.0
80709,The Borrowers,2011-12-25,29000000.0,22619699.0
59883,Age of the Dragons,2011-03-21,5000000.0,0.0
159414,The Inheritance,1962-02-16,8000000.0,0.0
